tweetid,link,author,title,description,pubdate,source,favorite_count,retweet_count,tweet_type,user_id,user_friends_count,user_followers_count,user_location
1.46517E+18,https://twitter.com/Dip_low_matik/statuses/1465174673088344068,Dip_low_matik,"RT @TheSpaceshipper: Dune (2021): Giedi Prime, art by Deak Ferrand for @FXRodeo https://t.co/0vYGF2C48k","Dune (2021): Giedi Prime, art by Deak Ferrand for @FXRodeo https://t.co/0vYGF2C48k",11/28/2021 23:23,Twitter for Android,0,61,retweet,89841906,2019,458,collective lucid dream state
1.46517E+18,https://twitter.com/disordergrrrl/statuses/1465174630134685696,disordergrrrl,RT @GameSpot: DUNE - 1984 vs. 2021 https://t.co/ME5Hpn3psC,DUNE - 1984 vs. 2021 https://t.co/ME5Hpn3psC,11/28/2021 23:23,TweetDeck,0,131,retweet,277158363,193,31,icon: @holodecoy
1.46517E+18,https://twitter.com/disordergrrrl/statuses/1465174258129285120,disordergrrrl,RT @IrulanCorrinos: Not ready to say goodbye to Dune (2021) era yet https://t.co/D9TTLw2AFo,Not ready to say goodbye to Dune (2021) era yet https://t.co/D9TTLw2AFo,11/28/2021 23:22,TweetDeck,0,171,retweet,277158363,193,31,icon: @holodecoy
1.46517E+18,https://twitter.com/maddd1ZZ3/statuses/1465174006298918915,maddd1ZZ3,"2021 top 3:  Movies: 1 Night House 2 Dune 3 Saint Maud  TV Shows: 1 Arcane 2 Midnight Mass 3 Foundation  Games: League of Legends Wild Rift (2020 game, but NA release was 2021) Returnal Forza Horizon 5","2021 top 3:  Movies: 1 Night House 2 Dune 3 Saint Maud  TV Shows: 1 Arcane 2 Midnight Mass 3 Foundation  Games: League of Legends Wild Rift (2020 game, but NA release was 2021) Returnal Forza Horizon 5",11/28/2021 23:21,Twitter for iPhone,1,0,original,1.36605E+18,383,186,Canada
1.46517E+18,https://twitter.com/jaka93367/statuses/1465173808587943940,jaka93367,RT @RealScreenGeek: Report: Lucasfilm May Recast Gina Carano\'s Cara Dune Star Wars Role: https://t.co/E3NpODlfL2 https://t.co/GKY70gQwVY,Report: Lucasfilm May Recast Gina Carano\'s Cara Dune Star Wars Role: https://t.co/E3NpODlfL2 https://t.co/GKY70gQwVY,11/28/2021 23:20,Twitter for Android,0,83,retweet,8.94965E+17,292,83,
1.46517E+18,https://twitter.com/disordergrrrl/statuses/1465173733912498182,disordergrrrl,RT @SecretsOfDune: Dune (2021) Standard shot VS IMAX 1.43:1 full aspect ratio. #DuneMovie https://t.co/4zVhLapkNc,Dune (2021) Standard shot VS IMAX 1.43:1 full aspect ratio. #DuneMovie https://t.co/4zVhLapkNc,11/28/2021 23:20,TweetDeck,0,173,retweet,277158363,193,31,icon: @holodecoy
1.46517E+18,https://twitter.com/quartzjames/statuses/1465173611359178760,quartzjames,@internetmaxwell Have you tried watching Dune (2021)?,@internetmaxwell Have you tried watching Dune (2021)?,11/28/2021 23:19,Twitter Web App,2,0,reply,1358133577,406,763,"New York, USA"
1.46517E+18,https://twitter.com/felip_flo/statuses/1465173279824498698,felip_flo,Viendo: Dune (2021) https://t.co/xzxkr6LvUV,Viendo: Dune (2021) https://t.co/xzxkr6LvUV,11/28/2021 23:18,Twitter for Android,33,2,original,158874988,245,3711,Mèxico
1.46517E+18,https://twitter.com/superluv_belle/statuses/1465173183712145412,superluv_belle,RT @RealScreenGeek: Report: Lucasfilm May Recast Gina Carano\'s Cara Dune Star Wars Role: https://t.co/E3NpODlfL2 https://t.co/GKY70gQwVY,Report: Lucasfilm May Recast Gina Carano\'s Cara Dune Star Wars Role: https://t.co/E3NpODlfL2 https://t.co/GKY70gQwVY,11/28/2021 23:18,Twitter Web App,0,83,retweet,8.49383E+17,525,223,tattooine
1.46517E+18,https://twitter.com/disordergrrrl/statuses/1465172831038234624,disordergrrrl,RT @thedalediggler: Dune (2021) https://t.co/NBGPBzydfZ,Dune (2021) https://t.co/NBGPBzydfZ,11/28/2021 23:16,TweetDeck,0,46,quote,277158363,193,31,icon: @holodecoy
1.46517E+18,https://twitter.com/Zeus_TheAlpha/statuses/1465172552339247104,Zeus_TheAlpha,RT @RebeccaFan14: Rebecca Ferguson as Lady Jessica - Dune (2021) Costumes by Jacqueline West  1/2 https://t.co/hWIIMqXa4y,Rebecca Ferguson as Lady Jessica - Dune (2021) Costumes by Jacqueline West  1/2 https://t.co/hWIIMqXa4y,11/28/2021 23:15,Twitter for Android,0,61,retweet,1.39494E+18,725,530,
1.46517E+18,https://twitter.com/disordergrrrl/statuses/1465172505816150023,disordergrrrl,RT @maurmarmolejo: 🖼 | Parallels 🎞  | Apocalypse Now (1979) / #Dune (2021) https://t.co/658LQ2sXaV,🖼 | Parallels 🎞  | Apocalypse Now (1979) / #Dune (2021) https://t.co/658LQ2sXaV,11/28/2021 23:15,TweetDeck,0,196,retweet,277158363,193,31,icon: @holodecoy
1.46517E+18,https://twitter.com/disordergrrrl/statuses/1465172215436132352,disordergrrrl,RT @wtflanksteak: Dune (2021) https://t.co/C7FWDYJRpF,Dune (2021) https://t.co/C7FWDYJRpF,11/28/2021 23:14,TweetDeck,0,29,quote,277158363,193,31,icon: @holodecoy
1.46517E+18,https://twitter.com/Universe_Paths/statuses/1465171510465904642,Universe_Paths,RT @RebeccaFan14: Rebecca Ferguson as Lady Jessica - Dune (2021) Costumes by Jacqueline West  1/2 https://t.co/hWIIMqXa4y,Rebecca Ferguson as Lady Jessica - Dune (2021) Costumes by Jacqueline West  1/2 https://t.co/hWIIMqXa4y,11/28/2021 23:11,Twitter Web App,0,61,retweet,106425805,1829,649,Greece
1.46517E+18,https://twitter.com/FFrontiers/statuses/1465170054836801543,FFrontiers,RT @RealScreenGeek: Report: Lucasfilm May Recast Gina Carano\'s Cara Dune Star Wars Role: https://t.co/E3NpODlfL2 https://t.co/GKY70gQwVY,Report: Lucasfilm May Recast Gina Carano\'s Cara Dune Star Wars Role: https://t.co/E3NpODlfL2 https://t.co/GKY70gQwVY,11/28/2021 23:05,Twitter for Android,0,83,retweet,116136557,2106,741,"Philadelphia, MS"
1.46517E+18,https://twitter.com/QuicksandBuddy/statuses/1465167115477041157,QuicksandBuddy,2021 Watched Movies  55. Dune: Part 1   THIRD TIME IN THEATERS BABAY!!  This time in IMAX at the Smithsonian Air and Space Museum 🪱🪱 https://t.co/PJF0AFwWxD,2021 Watched Movies  55. Dune: Part 1   THIRD TIME IN THEATERS BABAY!!  This time in IMAX at the Smithsonian Air and Space Museum 🪱🪱 https://t.co/PJF0AFwWxD,11/28/2021 22:53,Twitter for iPhone,2,0,reply,14320187,307,510,He/Him
1.46517E+18,https://twitter.com/maxbanshees/statuses/1465167067867451404,maxbanshees,to live (1994) - tokyo story (1953) - dune (2021) triple feature tonight............ lets go,to live (1994) - tokyo story (1953) - dune (2021) triple feature tonight............ lets go,11/28/2021 22:53,Twitter Web App,12,0,original,830857014,1237,3105,italian shadow government
1.46517E+18,https://twitter.com/caarolveigaa/statuses/1465166156441042947,caarolveigaa,RT @RebeccaFan14: Rebecca Ferguson as Lady Jessica - Dune (2021) Costumes by Jacqueline West  1/2 https://t.co/hWIIMqXa4y,Rebecca Ferguson as Lady Jessica - Dune (2021) Costumes by Jacqueline West  1/2 https://t.co/hWIIMqXa4y,11/28/2021 22:50,Twitter for Android,0,61,retweet,1398933145,3561,931,
1.46517E+18,https://twitter.com/superbatson/statuses/1465165810314448899,superbatson,"i better not get any flack for where dune ended up in my 2021 ranking, that\'s all i\'m saying","i better not get any flack for where dune ended up in my 2021 ranking, that\'s all i\'m saying",11/28/2021 22:48,Twitter for Android,1,0,original,2239721826,362,375,
